title,artist,peakPos,lastPos,weeks,rank,date
Black Velvet,Alannah Myles,69,80,3,69,1/20/1990
Over And Over,Pajama Party,59,70,11,70,1/20/1990
Just A Friend,Biz Markie,71,0,1,71,1/20/1990
The Angel Song,Great White,30,65,17,72,1/20/1990
Fool For Your Loving,Whitesnake,37,54,20,73,1/20/1990
Poison,Alice Cooper,7,62,18,74,1/20/1990
The Last Worthless Evening,Don Henley,21,53,16,75,1/20/1990
Angelia,Richard Marx,4,58,16,76,1/20/1990
The Deeper The Love,Whitesnake,77,0,1,77,1/20/1990
Don't Shut Me Out,Kevin Paige,18,76,23,78,1/20/1990
"Whole Wide World (From ""True Love"")",A'me Lorain,79,0,1,79,1/20/1990
Sacrifice,Elton John,80,87,2,80,1/20/1990
Heart,Neneh Cherry,73,73,7,81,1/20/1990
Anything I Want,Kevin Paige,82,0,1,82,1/20/1990
All Nite,Entouch Featuring Keith Sweat,83,88,2,83,1/20/1990
Leave A Light On,Belinda Carlisle,11,64,17,84,1/20/1990
"Timeless Love (From ""Shocker"")",Saraya,85,91,2,85,1/20/1990
Summer Rain,Belinda Carlisle,86,0,1,86,1/20/1990
House Of Fire,Alice Cooper,87,0,1,87,1/20/1990
Real Love,Skyy,88,0,1,88,1/20/1990
Pretending,Eric Clapton,55,77,10,89,1/20/1990
Right And Hype,Abstrac',89,89,5,90,1/20/1990
Hide Your Heart,KISS,66,84,9,91,1/20/1990
The Arms Of Orion,Prince With Sheena Easton,36,74,14,92,1/20/1990
I Live By The Groove,Paul Carrack,31,69,13,93,1/20/1990
Too Hot,Loverboy,84,86,5,94,1/20/1990
Figure Of Eight,Paul McCartney,92,92,2,95,1/20/1990
Serious Kinda Girl,Christopher Max,75,82,8,96,1/20/1990
Lullaby,The Cure,74,85,8,97,1/20/1990
Listen To Your Heart,Roxette,1,79,22,98,1/20/1990
Get On Your Feet,Gloria Estefan,11,81,17,99,1/20/1990
Didn't I (Blow Your Mind),New Kids On The Block,8,83,19,100,1/20/1990
How Am I Supposed To Live Without You,Michael Bolton,1,1,14,1,1/27/1990
Pump Up The Jam,Technotronic Featuring Felly,2,2,16,2,1/27/1990
Downtown Train,Rod Stewart,3,5,10,3,1/27/1990
Everything,Jody Watley,4,4,16,4,1/27/1990
Two To Make It Right,Seduction,5,9,12,5,1/27/1990
Just Between You And Me,Lou Gramm,6,7,14,6,1/27/1990
Free Fallin',Tom Petty,7,8,13,7,1/27/1990
Opposites Attract,Paula Abdul (Duet With The Wild Pair),8,16,7,8,1/27/1990
I Remember You,Skid Row,9,12,11,9,1/27/1990
Another Day In Paradise,Phil Collins,1,3,13,10,1/27/1990
Janie's Got A Gun,Aerosmith,11,14,10,11,1/27/1990
Love Song,Tesla,10,10,18,12,1/27/1990
Peace In Our Time,Eddie Money,13,18,9,13,1/27/1990
When The Night Comes,Joe Cocker,11,11,14,14,1/27/1990
What Kind Of Man Would I Be?,Chicago,15,23,9,15,1/27/1990
Tender Lover,Babyface,16,21,11,16,1/27/1990
Rhythm Nation,Janet Jackson,2,6,12,17,1/27/1990
I'll Be Good To You,Quincy Jones Featuring Ray Charles & Chaka Khan,18,20,11,18,1/27/1990
Tell Me Why,Expose,19,24,8,19,1/27/1990
Dangerous,Roxette,20,26,7,20,1/27/1990
Don't Know Much,Linda Ronstadt (Featuring Aaron Neville),2,15,18,21,1/27/1990
All Or Nothing,Milli Vanilli,22,30,4,22,1/27/1990
Here We Are,Gloria Estefan,23,31,7,23,1/27/1990
Swing The Mood,Jive Bunny & The Mastermixers,11,13,14,24,1/27/1990
Was It Nothing At All,Michael Damian,25,29,14,25,1/27/1990
We Can't Go Wrong,The Cover Girls,26,32,8,26,1/27/1990
Kickstart My Heart,Motley Crue,27,28,10,27,1/27/1990
Price Of Love,Bad English,28,35,6,28,1/27/1990
Back To Life,Soul II Soul,4,25,19,29,1/27/1990
Escapade,Janet Jackson,30,37,2,30,1/27/1990
With Every Beat Of My Heart,Taylor Dayne,5,22,15,31,1/27/1990
No More Lies,Michel'le,32,36,11,32,1/27/1990
Just Like Jesse James,Cher,8,19,15,33,1/27/1990
Roam,The B-52s,34,38,6,34,1/27/1990
This One's For The Children,New Kids On The Block,7,17,12,35,1/27/1990
I Go To Extremes,Billy Joel,36,46,3,36,1/27/1990
C'mon And Get My Love,D-Mob Introducing Cathy Dennis,37,43,7,37,1/27/1990
We Didn't Start The Fire,Billy Joel,1,27,16,38,1/27/1990
Woman In Chains,Tears For Fears,39,42,9,39,1/27/1990
Too Late To Say Goodbye,Richard Marx,40,49,2,40,1/27/1990
Principal's Office,Young M.C.,33,33,10,41,1/27/1990
Blame It On The Rain,Milli Vanilli,1,34,17,42,1/27/1990
Sometimes She Cries,Warrant,43,52,4,43,1/27/1990
I Want You,Shana,40,41,17,44,1/27/1990
Bust A Move,Young M.C.,7,45,27,45,1/27/1990
Nothin' To Hide,Poco,39,39,9,46,1/27/1990
If You Leave Me Now,Jaya,47,50,16,47,1/27/1990
Here And Now,Luther Vandross,48,53,6,48,1/27/1990
Love Shack,The B-52s,3,40,22,49,1/27/1990
No Myth,Michael Penn,50,66,4,50,1/27/1990
Personal Jesus,Depeche Mode,51,59,8,51,1/27/1990
Electric Boogie,Marcia Griffiths,51,51,8,52,1/27/1990
I Will Survive,SaFire,53,56,7,53,1/27/1990
Black Velvet,Alannah Myles,54,69,4,54,1/27/1990
Love Will Lead You Back,Taylor Dayne,55,0,1,55,1/27/1990
Going Home,Kenny G,56,61,4,56,1/27/1990
Me So Horny,The 2 Live Crew,26,54,21,57,1/27/1990
Don't Close Your Eyes,KIX,11,48,21,58,1/27/1990
Just A Friend,Biz Markie,59,71,2,59,1/27/1990
The Deeper The Love,Whitesnake,60,77,2,60,1/27/1990
Never 2 Much Of U,Dino,61,65,7,61,1/27/1990
Wait For You,Bonham,55,62,10,62,1/27/1990
Don't Make Me Over,Sybil,20,57,19,63,1/27/1990
A Girl Like You,The Smithereens,64,68,8,64,1/27/1990
Anything I Want,Kevin Paige,65,82,2,65,1/27/1990
Sacrifice,Elton John,66,80,3,66,1/27/1990
When I See You Smile,Bad English,1,55,20,67,1/27/1990
Living In Sin,Bon Jovi,9,47,17,68,1/27/1990
Everything You Do (You're Sexing Me),Fiona (Duet With Kip Winger),52,58,10,69,1/27/1990
Oh Father,Madonna,20,44,12,70,1/27/1990
Summer Rain,Belinda Carlisle,71,86,2,71,1/27/1990
"Whole Wide World (From ""True Love"")",A'me Lorain,72,79,2,72,1/27/1990
Don't Take It Personal,Jermaine Jackson,64,67,9,73,1/27/1990
All Nite,Entouch Featuring Keith Sweat,74,83,3,74,1/27/1990
Steamy Windows,Tina Turner,39,63,10,75,1/27/1990
House Of Fire,Alice Cooper,76,87,2,76,1/27/1990
Over And Over,Pajama Party,59,70,12,77,1/27/1990
(It's Just) The Way That You Love Me,Paula Abdul,3,64,24,78,1/27/1990
The Angel Song,Great White,30,72,18,79,1/27/1990
Dirty Deeds,Joan Jett,80,0,1,80,1/27/1990
Rock And A Hard Place,The Rolling Stones,23,60,13,81,1/27/1990
Walk On By,Sybil,82,0,1,82,1/27/1990
Real Love,Skyy,83,88,2,83,1/27/1990
The Last Worthless Evening,Don Henley,21,75,17,84,1/27/1990
"Timeless Love (From ""Shocker"")",Saraya,85,85,3,85,1/27/1990
Get Up! (Before The Night Is Over),Technotronic,86,0,1,86,1/27/1990
If U Were Mine,The U-Krew,87,0,1,87,1/27/1990
Fool For Your Loving,Whitesnake,37,73,21,88,1/27/1990
Let Love Rule,Lenny Kravitz,89,0,1,89,1/27/1990
There's A Party Going On,Yvonne,90,0,1,90,1/27/1990
Fly High Michelle,Enuff Z'Nuff,91,0,1,91,1/27/1990
Angelia,Richard Marx,4,76,17,92,1/27/1990
Don't Shut Me Out,Kevin Paige,18,78,24,93,1/27/1990
Right And Hype,Abstrac',89,90,6,94,1/27/1990
Figure Of Eight,Paul McCartney,92,95,3,95,1/27/1990
Leave A Light On,Belinda Carlisle,11,84,18,96,1/27/1990
Pretending,Eric Clapton,55,89,11,97,1/27/1990
Heart,Neneh Cherry,73,81,8,98,1/27/1990
Poison,Alice Cooper,7,74,19,99,1/27/1990
Hide Your Heart,KISS,66,91,10,100,1/27/1990
How Am I Supposed To Live Without You,Michael Bolton,1,1,15,1,2/3/1990
Opposites Attract,Paula Abdul (Duet With The Wild Pair),2,8,8,2,2/3/1990
Downtown Train,Rod Stewart,3,3,11,3,2/3/1990
Two To Make It Right,Seduction,4,5,13,4,2/3/1990
Janie's Got A Gun,Aerosmith,5,11,11,5,2/3/1990
I Remember You,Skid Row,6,9,12,6,2/3/1990
Free Fallin',Tom Petty,7,7,14,7,2/3/1990
Pump Up The Jam,Technotronic Featuring Felly,2,2,17,8,2/3/1990
Just Between You And Me,Lou Gramm,6,6,15,9,2/3/1990
Everything,Jody Watley,4,4,17,10,2/3/1990
What Kind Of Man Would I Be?,Chicago,11,15,10,11,2/3/1990
Peace In Our Time,Eddie Money,12,13,10,12,2/3/1990
Dangerous,Roxette,13,20,8,13,2/3/1990
Tender Lover,Babyface,14,16,12,14,2/3/1990
Tell Me Why,Expose,15,19,9,15,2/3/1990
All Or Nothing,Milli Vanilli,16,22,5,16,2/3/1990
Escapade,Janet Jackson,17,30,3,17,2/3/1990
We Can't Go Wrong,The Cover Girls,18,26,9,18,2/3/1990
Here We Are,Gloria Estefan,19,23,8,19,2/3/1990
Love Song,Tesla,10,12,19,20,2/3/1990
Another Day In Paradise,Phil Collins,1,10,14,21,2/3/1990
Price Of Love,Bad English,22,28,7,22,2/3/1990
Roam,The B-52s,23,34,7,23,2/3/1990
Was It Nothing At All,Michael Damian,24,25,15,24,2/3/1990
When The Night Comes,Joe Cocker,11,14,15,25,2/3/1990
No More Lies,Michel'le,26,32,12,26,2/3/1990
Kickstart My Heart,Motley Crue,27,27,11,27,2/3/1990
I Go To Extremes,Billy Joel,28,36,4,28,2/3/1990
C'mon And Get My Love,D-Mob Introducing Cathy Dennis,29,37,8,29,2/3/1990
I'll Be Good To You,Quincy Jones Featuring Ray Charles & Chaka Khan,18,18,12,30,2/3/1990
Don't Know Much,Linda Ronstadt (Featuring Aaron Neville),2,21,19,31,2/3/1990
Too Late To Say Goodbye,Richard Marx,32,40,3,32,2/3/1990
Rhythm Nation,Janet Jackson,2,17,13,33,2/3/1990
Back To Life,Soul II Soul,4,29,20,34,2/3/1990
Sometimes She Cries,Warrant,35,43,5,35,2/3/1990
Woman In Chains,Tears For Fears,36,39,10,36,2/3/1990
Swing The Mood,Jive Bunny & The Mastermixers,11,24,15,37,2/3/1990
No Myth,Michael Penn,38,50,5,38,2/3/1990
Black Velvet,Alannah Myles,39,54,5,39,2/3/1990
Love Will Lead You Back,Taylor Dayne,40,55,2,40,2/3/1990
Just A Friend,Biz Markie,41,59,3,41,2/3/1990
Here And Now,Luther Vandross,42,48,7,42,2/3/1990
With Every Beat Of My Heart,Taylor Dayne,5,31,16,43,2/3/1990
If You Leave Me Now,Jaya,44,47,17,44,2/3/1990
Sacrifice,Elton John,45,66,4,45,2/3/1990
Personal Jesus,Depeche Mode,46,51,9,46,2/3/1990
Just Like Jesse James,Cher,8,33,16,47,2/3/1990
The Deeper The Love,Whitesnake,48,60,3,48,2/3/1990
Principal's Office,Young M.C.,33,41,11,49,2/3/1990
We Didn't Start The Fire,Billy Joel,1,38,17,50,2/3/1990
Blame It On The Rain,Milli Vanilli,1,42,18,51,2/3/1990
Bust A Move,Young M.C.,7,45,28,52,2/3/1990
I Want You,Shana,40,44,18,53,2/3/1990
Anything I Want,Kevin Paige,54,65,3,54,2/3/1990
A Girl Like You,The Smithereens,55,64,9,55,2/3/1990
Keep It Together,Madonna,56,0,1,56,2/3/1990
Electric Boogie,Marcia Griffiths,51,52,9,57,2/3/1990
This One's For The Children,New Kids On The Block,7,35,13,58,2/3/1990
Summer Rain,Belinda Carlisle,59,71,3,59,2/3/1990
Love Shack,The B-52s,3,49,23,60,2/3/1990
I Will Survive,SaFire,53,53,8,61,2/3/1990
Get Up! (Before The Night Is Over),Technotronic,62,86,2,62,2/3/1990
Me So Horny,The 2 Live Crew,26,57,22,63,2/3/1990
House Of Fire,Alice Cooper,64,76,3,64,2/3/1990
Going Home,Kenny G,56,56,5,65,2/3/1990
Dirty Deeds,Joan Jett,66,80,2,66,2/3/1990
"Whole Wide World (From ""True Love"")",A'me Lorain,67,72,3,67,2/3/1990
Nothin' To Hide,Poco,39,46,10,68,2/3/1990
Love Me For Life,Stevie B,69,0,1,69,2/3/1990
Never 2 Much Of U,Dino,61,61,8,70,2/3/1990
I Wish It Would Rain Down,Phil Collins,71,0,1,71,2/3/1990
Forever,KISS,72,0,1,72,2/3/1990
Real Love,Skyy,73,83,3,73,2/3/1990
All Nite,Entouch Featuring Keith Sweat,74,74,4,74,2/3/1990
Don't Make Me Over,Sybil,20,63,20,75,2/3/1990
Wait For You,Bonham,55,62,11,76,2/3/1990
Don't Close Your Eyes,KIX,11,58,22,77,2/3/1990
All Around The World,Lisa Stansfield,78,0,1,78,2/3/1990
When I See You Smile,Bad English,1,67,21,79,2/3/1990
Over And Over,Pajama Party,59,77,13,80,2/3/1990
Walk On By,Sybil,81,82,2,81,2/3/1990
Living In Sin,Bon Jovi,9,68,18,82,2/3/1990
Don't Take It Personal,Jermaine Jackson,64,73,10,83,2/3/1990
The Angel Song,Great White,30,79,19,84,2/3/1990
If U Were Mine,The U-Krew,85,87,2,85,2/3/1990
Fly High Michelle,Enuff Z'Nuff,86,91,2,86,2/3/1990
"Timeless Love (From ""Shocker"")",Saraya,85,85,4,87,2/3/1990
Everything You Do (You're Sexing Me),Fiona (Duet With Kip Winger),52,69,11,88,2/3/1990
Let Love Rule,Lenny Kravitz,89,89,2,89,2/3/1990
There's A Party Going On,Yvonne,90,90,2,90,2/3/1990
That's What I Like,Jive Bunny & The Mastermixers,91,0,1,91,2/3/1990
(It's Just) The Way That You Love Me,Paula Abdul,3,78,25,92,2/3/1990
1/2/2003,The Chimes,93,0,1,93,2/3/1990
You're The Only Woman,The Brat Pack,94,0,1,94,2/3/1990
The Last Worthless Evening,Don Henley,21,84,18,95,2/3/1990
Figure Of Eight,Paul McCartney,92,95,4,96,2/3/1990
Steamy Windows,Tina Turner,39,75,11,97,2/3/1990
Fool For Your Loving,Whitesnake,37,88,22,98,2/3/1990
Rock And A Hard Place,The Rolling Stones,23,81,14,99,2/3/1990
Oh Father,Madonna,20,70,13,100,2/3/1990
Opposites Attract,Paula Abdul (Duet With The Wild Pair),1,2,9,1,2/10/1990
Two To Make It Right,Seduction,2,4,14,2,2/10/1990
Downtown Train,Rod Stewart,3,3,12,3,2/10/1990
Janie's Got A Gun,Aerosmith,4,5,12,4,2/10/1990
How Am I Supposed To Live Without You,Michael Bolton,1,1,16,5,2/10/1990
What Kind Of Man Would I Be?,Chicago,6,11,11,6,2/10/1990
Dangerous,Roxette,7,13,9,7,2/10/1990
I Remember You,Skid Row,6,6,13,8,2/10/1990
Escapade,Janet Jackson,9,17,4,9,2/10/1990
All Or Nothing,Milli Vanilli,10,16,6,10,2/10/1990
Peace In Our Time,Eddie Money,11,12,11,11,2/10/1990
Tell Me Why,Expose,12,15,10,12,2/10/1990
We Can't Go Wrong,The Cover Girls,13,18,10,13,2/10/1990
Here We Are,Gloria Estefan,14,19,9,14,2/10/1990
Free Fallin',Tom Petty,7,7,15,15,2/10/1990
Roam,The B-52s,16,23,8,16,2/10/1990
Price Of Love,Bad English,17,22,8,17,2/10/1990
Everything,Jody Watley,4,10,18,18,2/10/1990
Pump Up The Jam,Technotronic Featuring Felly,2,8,18,19,2/10/1990
No More Lies,Michel'le,20,26,13,20,2/10/1990
Tender Lover,Babyface,14,14,13,21,2/10/1990
Just Between You And Me,Lou Gramm,6,9,16,22,2/10/1990
I Go To Extremes,Billy Joel,23,28,5,23,2/10/1990
C'mon And Get My Love,D-Mob Introducing Cathy Dennis,24,29,9,24,2/10/1990
Was It Nothing At All,Michael Damian,24,24,16,25,2/10/1990
Too Late To Say Goodbye,Richard Marx,26,32,4,26,2/10/1990
Love Song,Tesla,10,20,20,27,2/10/1990
Black Velvet,Alannah Myles,28,39,6,28,2/10/1990
Just A Friend,Biz Markie,29,41,4,29,2/10/1990
No Myth,Michael Penn,30,38,6,30,2/10/1990
Sometimes She Cries,Warrant,31,35,6,31,2/10/1990
Love Will Lead You Back,Taylor Dayne,32,40,3,32,2/10/1990
Another Day In Paradise,Phil Collins,1,21,15,33,2/10/1990
Don't Know Much,Linda Ronstadt (Featuring Aaron Neville),2,31,20,34,2/10/1990
Sacrifice,Elton John,35,45,5,35,2/10/1990
Here And Now,Luther Vandross,36,42,8,36,2/10/1990
Kickstart My Heart,Motley Crue,27,27,12,37,2/10/1990
Personal Jesus,Depeche Mode,38,46,10,38,2/10/1990
Back To Life,Soul II Soul,4,34,21,39,2/10/1990
When The Night Comes,Joe Cocker,11,25,16,40,2/10/1990
Keep It Together,Madonna,41,56,2,41,2/10/1990
The Deeper The Love,Whitesnake,42,48,4,42,2/10/1990
I'll Be Good To You,Quincy Jones Featuring Ray Charles & Chaka Khan,18,30,13,43,2/10/1990
Woman In Chains,Tears For Fears,36,36,11,44,2/10/1990
Get Up! (Before The Night Is Over),Technotronic,45,62,3,45,2/10/1990
I Wish It Would Rain Down,Phil Collins,46,71,2,46,2/10/1990
All My Life,Linda Ronstadt (Featuring Aaron Neville),47,0,1,47,2/10/1990
If You Leave Me Now,Jaya,44,44,18,48,2/10/1990
Summer Rain,Belinda Carlisle,49,59,4,49,2/10/1990
Anything I Want,Kevin Paige,50,54,4,50,2/10/1990
Swing The Mood,Jive Bunny & The Mastermixers,11,37,16,51,2/10/1990
A Girl Like You,The Smithereens,52,55,10,52,2/10/1990
Dirty Deeds,Joan Jett,53,66,3,53,2/10/1990
Rhythm Nation,Janet Jackson,2,33,14,54,2/10/1990
Bust A Move,Young M.C.,7,52,29,55,2/10/1990
All Around The World,Lisa Stansfield,56,78,2,56,2/10/1990
Blame It On The Rain,Milli Vanilli,1,51,19,57,2/10/1990
"Whole Wide World (From ""True Love"")",A'me Lorain,58,67,4,58,2/10/1990
Forever,KISS,59,72,2,59,2/10/1990
Love Me For Life,Stevie B,60,69,2,60,2/10/1990
House Of Fire,Alice Cooper,61,64,4,61,2/10/1990
Me So Horny,The 2 Live Crew,26,63,23,62,2/10/1990
Real Love,Skyy,63,73,4,63,2/10/1990
With Every Beat Of My Heart,Taylor Dayne,5,43,17,64,2/10/1990
I Want You,Shana,40,53,19,65,2/10/1990
Love Shack,The B-52s,3,60,24,66,2/10/1990
Just Like Jesse James,Cher,8,47,17,67,2/10/1990
Principal's Office,Young M.C.,33,49,12,68,2/10/1990
We Didn't Start The Fire,Billy Joel,1,50,18,69,2/10/1990
This One's For The Children,New Kids On The Block,7,58,14,70,2/10/1990
All Nite,Entouch Featuring Keith Sweat,71,74,5,71,2/10/1990
Electric Boogie,Marcia Griffiths,51,57,10,72,2/10/1990
Going Home,Kenny G,56,65,6,73,2/10/1990
Walk On By,Sybil,74,81,3,74,2/10/1990
Don't Wanna Fall In Love,Jane Child,75,0,1,75,2/10/1990
I Will Survive,SaFire,53,61,9,76,2/10/1990
Nothin' To Hide,Poco,39,68,11,77,2/10/1990
If U Were Mine,The U-Krew,78,85,3,78,2/10/1990
Don't Make Me Over,Sybil,20,75,21,79,2/10/1990
You're The Only Woman,The Brat Pack,80,94,2,80,2/10/1990
Fly High Michelle,Enuff Z'Nuff,81,86,3,81,2/10/1990
Wait For You,Bonham,55,76,12,82,2/10/1990
That's What I Like,Jive Bunny & The Mastermixers,83,91,2,83,2/10/1990
Almost Hear You Sigh,The Rolling Stones,84,0,1,84,2/10/1990
When I See You Smile,Bad English,1,79,22,85,2/10/1990
Over And Over,Pajama Party,59,80,14,86,2/10/1990
The Angel Song,Great White,30,84,20,87,2/10/1990
Never 2 Much Of U,Dino,61,70,9,88,2/10/1990
Don't Close Your Eyes,KIX,11,77,23,89,2/10/1990
1/2/2003,The Chimes,90,93,2,90,2/10/1990
Let Love Rule,Lenny Kravitz,89,89,3,91,2/10/1990
Heart Of Stone,Cher,92,0,1,92,2/10/1990
I Wanna Be Rich,Calloway,93,0,1,93,2/10/1990
There's A Party Going On,Yvonne,90,90,3,94,2/10/1990
"Timeless Love (From ""Shocker"")",Saraya,85,87,5,95,2/10/1990
Don't Take It Personal,Jermaine Jackson,64,83,11,96,2/10/1990
You're The Voice,John Farnham,97,0,1,97,2/10/1990
Everything You Do (You're Sexing Me),Fiona (Duet With Kip Winger),52,88,12,98,2/10/1990
Figure Of Eight,Paul McCartney,92,96,5,99,2/10/1990
Living In Sin,Bon Jovi,9,82,19,100,2/10/1990
Opposites Attract,Paula Abdul (Duet With The Wild Pair),1,1,10,1,2/17/1990
Two To Make It Right,Seduction,2,2,15,2,2/17/1990
Escapade,Janet Jackson,3,9,5,3,2/17/1990
Dangerous,Roxette,4,7,10,4,2/17/1990
Janie's Got A Gun,Aerosmith,4,4,13,5,2/17/1990
What Kind Of Man Would I Be?,Chicago,6,6,12,6,2/17/1990
All Or Nothing,Milli Vanilli,7,10,7,7,2/17/1990
Downtown Train,Rod Stewart,3,3,13,8,2/17/1990
Tell Me Why,Expose,9,12,11,9,2/17/1990
We Can't Go Wrong,The Cover Girls,10,13,11,10,2/17/1990
Roam,The B-52s,11,16,9,11,2/17/1990
Here We Are,Gloria Estefan,12,14,10,12,2/17/1990
Price Of Love,Bad English,13,17,9,13,2/17/1990
How Am I Supposed To Live Without You,Michael Bolton,1,5,17,14,2/17/1990
No More Lies,Michel'le,15,20,14,15,2/17/1990
I Remember You,Skid Row,6,8,14,16,2/17/1990
I Go To Extremes,Billy Joel,17,23,6,17,2/17/1990
C'mon And Get My Love,D-Mob Introducing Cathy Dennis,18,24,10,18,2/17/1990
Too Late To Say Goodbye,Richard Marx,19,26,5,19,2/17/1990
Black Velvet,Alannah Myles,20,28,7,20,2/17/1990
Just A Friend,Biz Markie,21,29,5,21,2/17/1990
Peace In Our Time,Eddie Money,11,11,12,22,2/17/1990
Love Will Lead You Back,Taylor Dayne,23,32,4,23,2/17/1990
No Myth,Michael Penn,24,30,7,24,2/17/1990
Sometimes She Cries,Warrant,25,31,7,25,2/17/1990
Pump Up The Jam,Technotronic Featuring Felly,2,19,19,26,2/17/1990
Everything,Jody Watley,4,18,19,27,2/17/1990
Sacrifice,Elton John,28,35,6,28,2/17/1990
Here And Now,Luther Vandross,29,36,9,29,2/17/1990
Get Up! (Before The Night Is Over),Technotronic,30,45,4,30,2/17/1990
I Wish It Would Rain Down,Phil Collins,31,46,3,31,2/17/1990
Free Fallin',Tom Petty,7,15,16,32,2/17/1990
Personal Jesus,Depeche Mode,33,38,11,33,2/17/1990
Keep It Together,Madonna,34,41,3,34,2/17/1990
Love Song,Tesla,10,27,21,35,2/17/1990
Just Between You And Me,Lou Gramm,6,22,17,36,2/17/1990
Tender Lover,Babyface,14,21,14,37,2/17/1990
Was It Nothing At All,Michael Damian,24,25,17,38,2/17/1990
The Deeper The Love,Whitesnake,39,42,5,39,2/17/1990
Summer Rain,Belinda Carlisle,40,49,5,40,2/17/1990
Anything I Want,Kevin Paige,41,50,5,41,2/17/1990
All Around The World,Lisa Stansfield,42,56,3,42,2/17/1990
All My Life,Linda Ronstadt (Featuring Aaron Neville),43,47,2,43,2/17/1990
Forever,KISS,44,59,3,44,2/17/1990
Don't Know Much,Linda Ronstadt (Featuring Aaron Neville),2,34,21,45,2/17/1990
A Girl Like You,The Smithereens,46,52,11,46,2/17/1990
Back To Life,Soul II Soul,4,39,22,47,2/17/1990
Dirty Deeds,Joan Jett,48,53,4,48,2/17/1990
If You Leave Me Now,Jaya,44,48,19,49,2/17/1990
"Whole Wide World (From ""True Love"")",A'me Lorain,50,58,5,50,2/17/1990
I'll Be Your Everything,Tommy Page,51,0,1,51,2/17/1990
Another Day In Paradise,Phil Collins,1,33,16,52,2/17/1990
Don't Wanna Fall In Love,Jane Child,53,75,2,53,2/17/1990
Real Love,Skyy,54,63,5,54,2/17/1990
Love Me For Life,Stevie B,55,60,3,55,2/17/1990
House Of Fire,Alice Cooper,56,61,5,56,2/17/1990
Bust A Move,Young M.C.,7,55,30,57,2/17/1990
Kickstart My Heart,Motley Crue,27,37,13,58,2/17/1990
When The Night Comes,Joe Cocker,11,40,17,59,2/17/1990
Woman In Chains,Tears For Fears,36,44,12,60,2/17/1990
Blame It On The Rain,Milli Vanilli,1,57,20,61,2/17/1990
I'll Be Good To You,Quincy Jones Featuring Ray Charles & Chaka Khan,18,43,14,62,2/17/1990
Swing The Mood,Jive Bunny & The Mastermixers,11,51,17,63,2/17/1990
Me So Horny,The 2 Live Crew,26,62,24,64,2/17/1990
If U Were Mine,The U-Krew,65,78,4,65,2/17/1990
You're The Only Woman,The Brat Pack,66,80,3,66,2/17/1990
Almost Hear You Sigh,The Rolling Stones,67,84,2,67,2/17/1990
I Want You,Shana,40,65,20,68,2/17/1990
That's What I Like,Jive Bunny & The Mastermixers,69,83,3,69,2/17/1990
Rhythm Nation,Janet Jackson,2,54,15,70,2/17/1990
All Nite,Entouch Featuring Keith Sweat,71,71,6,71,2/17/1990
Fly High Michelle,Enuff Z'Nuff,72,81,4,72,2/17/1990
I Wanna Be Rich,Calloway,73,93,2,73,2/17/1990
Walk On By,Sybil,74,74,4,74,2/17/1990
Heart Of Stone,Cher,75,92,2,75,2/17/1990
Love Shack,The B-52s,3,66,25,76,2/17/1990
Blue Sky Mine,Midnight Oil,77,0,1,77,2/17/1990
I'll Be There,"Joyce ""Fenderella"" Irby",78,0,1,78,2/17/1990
Principal's Office,Young M.C.,33,68,13,79,2/17/1990
The Heart Of The Matter,Don Henley,80,0,1,80,2/17/1990
This One's For The Children,New Kids On The Block,7,70,15,81,2/17/1990
I Will Survive,SaFire,53,76,10,82,2/17/1990
With Every Beat Of My Heart,Taylor Dayne,5,64,18,83,2/17/1990
Wait For You,Bonham,55,82,13,84,2/17/1990
Electric Boogie,Marcia Griffiths,51,72,11,85,2/17/1990
1/2/2003,The Chimes,86,90,3,86,2/17/1990
Don't Make Me Over,Sybil,20,79,22,87,2/17/1990
Anytime,McAuley Schenker Group,88,0,1,88,2/17/1990
Got To Get,Leila K With Rob 'N' Raz,89,0,1,89,2/17/1990
Going Home,Kenny G,56,73,7,90,2/17/1990
You're The Voice,John Farnham,91,97,2,91,2/17/1990
Sending All My Love,Linear,92,0,1,92,2/17/1990
Just Like Jesse James,Cher,8,67,18,93,2/17/1990
We Didn't Start The Fire,Billy Joel,1,69,19,94,2/17/1990
Living In Oblivion,Anything Box,95,0,1,95,2/17/1990
True Blue Love,Lou Gramm,96,0,1,96,2/17/1990
There's A Party Going On,Yvonne,90,94,4,97,2/17/1990
Nothin' To Hide,Poco,39,77,12,98,2/17/1990
Let Love Rule,Lenny Kravitz,89,91,4,99,2/17/1990
The Angel Song,Great White,30,87,21,100,2/17/1990
Opposites Attract,Paula Abdul (Duet With The Wild Pair),1,1,11,1,2/24/1990
Escapade,Janet Jackson,2,3,6,2,2/24/1990
Dangerous,Roxette,3,4,11,3,2/24/1990
All Or Nothing,Milli Vanilli,4,7,8,4,2/24/1990
What Kind Of Man Would I Be?,Chicago,5,6,13,5,2/24/1990
Roam,The B-52s,6,11,10,6,2/24/1990
Two To Make It Right,Seduction,2,2,16,7,2/24/1990
Here We Are,Gloria Estefan,8,12,11,8,2/24/1990
We Can't Go Wrong,The Cover Girls,9,10,12,9,2/24/1990
Price Of Love,Bad English,10,13,10,10,2/24/1990
No More Lies,Michel'le,11,15,15,11,2/24/1990
Black Velvet,Alannah Myles,12,20,8,12,2/24/1990
